patch	chromosome	start	end
CHR_MG4136_PATCH	4	143214657	143582942
CHR_MG4212_PATCH	5	15457667	15635395
CHR_MG4151_PATCH	7	3000001	3475222
CHR_MG3835_PATCH	18	11238883	11458280
CHR_MG153_PATCH	19	4013986	4260737
CHR_MG4214_PATCH	X	37804742	37986547
CHR_MG4209_PATCH	Y	45842743	46337667
CHR_MG4213_PATCH	Y	49216909	49556418
CHR_MG4211_PATCH	Y	66019703	66188541
CHR_MMCHR1_CHORI29_IDD5_1	1	60694705	61117038
CHR_MG3829_PATCH	11	87994577	88325687
CHR_MG4180_PATCH	12	109373903	109689534
CHR_MG3833_PATCH	16	18225663	18492018
CHR_MG4222_MG3908_PATCH	17	54687402	55747384
CHR_MG184_PATCH	6	72296717	72451483
CHR_MG4248_PATCH	3	15760691	15949398
CHR_MG3561_PATCH	4	60250666	60480214
CHR_MG3562_PATCH	4	61149612	61586638
CHR_MG3609_PATCH	4	122217500	122473817
CHR_MG4265_PATCH	4	130349247	130393225
CHR_MG4266_PATCH	4	130516336	130752718
CHR_MG117_PATCH	9	108784955	108953239
CHR_MG132_PATCH	9	124268539	124479149
CHR_MG4264_PATCH	10	58205866	58311233
CHR_MG4259_PATCH	15	3050001	3186530
CHR_MG4261_PATCH	15	38882451	39142852
CHR_MG4249_PATCH	19	6183084	6688105
CHR_MG4254_PATCH	X	29000987	29212944
CHR_MG4255_PATCH	X	29362945	29562451
CHR_MG3231_PATCH	X	60271962	60763715
