patch	chromosome	start	end
CHR_MG4136_PATCH	4	143214657	143582942
CHR_MG4212_PATCH	5	15457667	15635395
CHR_MG4151_PATCH	7	3000001	3475222
CHR_MG3835_PATCH	18	11238883	11458280
CHR_MG153_PATCH	19	4013986	4260737
CHR_MG4214_PATCH	X	37804742	37986547
CHR_MG4209_PATCH	Y	45842743	46337667
CHR_MG4213_PATCH	Y	49216909	49556418
CHR_MG4211_PATCH	Y	66019703	66188541
CHR_MMCHR1_CHORI29_IDD5_1	1	60694705	61117038
CHR_MG3829_PATCH	11	87994577	88325687
CHR_MG4180_PATCH	12	109373903	109689534
CHR_MG3833_PATCH	16	18225663	18492018
CHR_MG4222_MG3908_PATCH	17	54687402	55747384
CHR_MG184_PATCH	6	72296717	72451483
CHR_MG4237_PATCH	6	130173247	130660308
CHR_MG132_PATCH	9	124268539	124479149
