patch	chromosome	start	end
HSCHR5_1_CTG1	5	68505250	70910270
HG79_PATCH	9	136049442	136369192
HG104_HG975_PATCH	8	144743526	145146062
HG183_PATCH	17	62273514	62649312
HG186_PATCH	3	51416109	51584055
HG243_PATCH	8	145285645	145659901
HG280_PATCH	3	57369478	57399969
HG544_PATCH	10	17613209	18252930
HG745_PATCH	17	36372617	36711255
HG75_PATCH	17	34442621	35005379
HG987_PATCH	17	21250948	21566608
HG990_PATCH	17	252429	296626
HG991_PATCH	3	66270271	66308065
HG995_PATCH	10	133258319	133381404
HG996_PATCH	12	132806993	132967794
HG998_1_PATCH	9	139136890	139166997
HG998_2_PATCH	9	139216998	139252828
HG999_1_PATCH	1	248865779	248908210
HG999_2_PATCH	1	249058211	249098883
HSCHR10_1_CTG2	10	27574584	27706537
HSCHR10_1_CTG5	10	45670681	45964419
HSCHR11_1_CTG1_1	11	25191953	25340626
HSCHR12_1_CTG2	12	28148967	28263711
HSCHR12_1_CTG2_1	12	58326520	58486538
HSCHR12_1_CTG5	12	126711744	126890020
HSCHR12_2_CTG2_1	12	59323046	59454651
HSCHR12_3_CTG2_1	12	101503370	101652073
HSCHR15_1_CTG4	15	28557187	28842093
HSCHR15_1_CTG8	15	66200521	66577156
HSCHR16_1_CTG3_1	16	55822434	56002460
HSCHR16_2_CTG3_1	16	69174054	69258593
HSCHR17_1_CTG1	17	1	252428
HSCHR17_1_CTG4	17	39463362	39589187
HSCHR17_2_CTG4	17	68302419	68520360
HSCHR17_3_CTG4	17	75216812	75295408
HSCHR18_1_CTG1_1	18	47818564	48101162
HSCHR18_1_CTG2	18	70600357	70692016
HSCHR18_1_CTG2_1	18	76253467	76412030
HSCHR18_2_CTG1_1	18	49189306	49348012
HSCHR18_2_CTG2	18	65090960	65219788
HSCHR18_2_CTG2_1	18	76694886	76848997
HSCHR19_1_CTG3	19	20845947	21225187
HSCHR19_1_CTG3_1	19	34643165	34791855
HSCHR19_2_CTG3	19	21831092	21991838
HSCHR19_3_CTG3	19	22303652	22483468
HSCHR1_1_CTG31	1	153673007	153838214
HSCHR1_2_CTG31	1	155180173	155275036
HSCHR1_3_CTG31	1	198339213	198694304
HSCHR20_1_CTG1	20	17751747	17874115
HSCHR21_1_CTG1_1	21	15796462	15847792
HSCHR21_2_CTG1_1	21	23474793	23669288
HSCHR21_3_CTG1_1	21	34141390	34210247
HSCHR21_4_CTG1_1	21	34777735	34884866
HSCHR22_1_CTG1	22	42477964	42648568
HSCHR22_1_CTG2	22	39280299	39407165
HSCHR2_1_CTG1	2	36453102	36590458
HSCHR2_1_CTG12	2	169686873	169793704
HSCHR3_1_CTG2_1	3	151307154	151477286
HSCHR4_1_CTG12	4	156756530	156908416
HSCHR4_1_CTG6	4	34519577	34885480
HSCHR4_2_CTG9	4	62777687	62877254
HSCHR5_1_CTG2	5	94505561	94590195
HSCHR5_1_CTG5	5	161800673	161968654
HSCHR5_2_CTG1	5	12681538	12744122
HSCHR6_1_CTG5	6	80059725	80156628
HSCHR7_1_CTG6	7	141333209	141446583
HSCHR9_1_CTG1	9	7428994	7577169
HSCHR9_1_CTG35	9	72028659	72092013
HSCHR9_2_CTG35	9	72639029	72804234
HSCHR9_3_CTG35	9	90793962	90842895
HSCHR2_2_CTG12	2	149790583	149880633
HG706_PATCH	4	75382210	75689879
HG736_PATCH	7	56835596	57190579
HG14_PATCH	7	57342227	57586048
HG946_PATCH	7	98260131	98556215
HG115_PATCH	7	101718951	102072447
HG7_PATCH	7	141557850	142778624
HG281_PATCH	11	49862648	50121284
HG858_PATCH	12	60001	282464
HG531_PATCH	13	115085142	115109878
HG185_PATCH	17	39869611	40277911
HG730_PATCH	19	20193557	20845946
HG506_HG1000_1_PATCH	20	61031539	61213369
HG1000_2_PATCH	20	61263370	61267733
