patch	chromosome	start	end
CHR_HG2095_PATCH	1	17157487	17460319
CHR_HG2058_PATCH	1	26512383	26678582
CHR_HG986_PATCH	1	41250328	41436604
CHR_HG2104_PATCH	1	112909422	113029606
CHR_HG1832_PATCH	1	210220259	210677001
CHR_HG2232_PATCH	2	233054663	233420161
CHR_HG2233_PATCH	2	239696904	239905046
CHR_HG2066_PATCH	3	44474647	44925818
CHR_HG126_PATCH	3	72325441	72740399
CHR_HG2022_PATCH	3	91247723	91553319
CHR_HSCHR5_7_CTG1	5	21098347	21230960
CHR_HG2128_PATCH	6	67533466	67796090
CHR_HG2030_PATCH	9	133174055	133504070
CHR_HG2244_HG2245_PATCH	10	38918270	39338430
CHR_HG2191_PATCH	10	74797382	75073121
CHR_HG2242_HG2243_PATCH	10	124109957	124195365
CHR_HG2241_PATCH	10	131588434	131607480
CHR_HSCHR11_1_CTG1_2	11	7779133	7972558
CHR_HG2217_PATCH	11	118978401	119087276
CHR_HG1362_PATCH	12	12031003	12572035
CHR_HG23_PATCH	12	17717409	17928910
CHR_HG2247_PATCH	12	122057735	122145576
CHR_HG2291_PATCH	13	18171249	18358106
CHR_HG2216_PATCH	13	86269523	86292877
CHR_HG2249_PATCH	13	100900735	101049613
CHR_HG2288_HG2289_PATCH	13	113936976	114147229
CHR_HG2021_PATCH	19	39740125	40095774
CHR_HSCHR22_4_CTG1	22	42085050	42253758
CHR_HSCHR22_5_CTG1	22	42114417	42253758
CHR_HG2062_PATCH	Y	56821510	56887902
CHR_HG1342_HG2282_PATCH	1	12818488	13312803
CHR_HG2290_PATCH	2	88891175	89330679
CHR_HG2235_PATCH	3	66023201	66396803
CHR_HG2237_PATCH	3	90528825	90699772
CHR_HG1651_PATCH	6	61123605	61470683
CHR_HG2239_PATCH	7	154422352	154602937
CHR_HSCHR15_6_CTG8	15	30012327	32846950
CHR_HSCHR16_3_CTG3_1	16	75930096	76091406
CHR_HSCHR1_4_CTG3	1	23237486	23579959
CHR_HSCHR1_3_CTG3	1	103909381	104045121
CHR_HSCHR1_5_CTG32_1	1	235360200	235568613
CHR_HSCHR4_2_CTG4	4	14931450	15019028
CHR_HSCHR4_8_CTG12	4	65880454	66040277
CHR_HSCHR4_9_CTG12	4	69959865	70191926
CHR_HSCHR6_1_CTG10	6	13101650	13179113
CHR_HG2072_PATCH	6	82140389	82375901
CHR_HSCHR9_1_CTG6	9	8983671	9142737
CHR_HSCHR9_1_CTG7	9	24949709	25079413
CHR_HSCHR10_1_CTG6	10	65503225	65684914
CHR_HG2334_PATCH	10	87784179	88048756
CHR_HG2116_PATCH	11	92232311	92410192
CHR_HSCHR12_2_CTG1	12	1033530	1135924
CHR_HSCHR13_1_CTG7	13	84294441	84452423
CHR_HSCHR13_1_CTG8	13	108604134	108722945
CHR_HSCHR16_5_CTG1	16	2820536	2873621
CHR_HSCHR16_4_CTG3_1	16	71137292	71399966
CHR_HSCHR18_5_CTG1_1	18	22388680	22588100
CHR_HG2213_PATCH	18	48514982	48918117
CHR_HG26_PATCH	19	38590365	38995717
CHR_HSCHR22_6_CTG1	22	42095280	42253758
CHR_HSCHR22_7_CTG1	22	42106394	42253758
